I,V,sigma_I,sigma_V
4.2e-05,0.207,2.886751345948129e-07,0.0002886751345948129
6.2e-05,0.306,2.886751345948129e-07,0.0002886751345948129
8.159999999999999e-05,0.404,2.886751345948129e-07,0.0002886751345948129
0.000103,0.51,2.886751345948129e-07,0.0002886751345948129
0.00012220000000000002,0.608,2.886751345948129e-07,0.0002886751345948129
0.0001426,0.71,2.886751345948129e-07,0.0002886751345948129
0.0001627,0.81,2.886751345948129e-07,0.0002886751345948129
0.0001826,0.91,2.886751345948129e-07,0.0002886751345948129
0.0002037,1.015,2.886751345948129e-07,0.0002886751345948129
0.0002245,1.119,2.886751345948129e-07,0.0002886751345948129
0.0002437,1.214,2.886751345948129e-07,0.0002886751345948129
0.0002635,1.314,2.886751345948129e-07,0.0002886751345948129
0.0002833,1.412,2.886751345948129e-07,0.0002886751345948129
0.00030389999999999996,1.514,2.886751345948129e-07,0.0002886751345948129
0.00032389999999999996,1.614,2.886751345948129e-07,0.0002886751345948129
0.00034310000000000005,1.711,2.886751345948129e-07,0.0002886751345948129
0.0003646,1.818,2.886751345948129e-07,0.0002886751345948129
0.0003849,1.919,2.886751345948129e-07,0.0002886751345948129
0.00040469999999999997,2.018,2.886751345948129e-07,0.0002886751345948129
0.0004236,2.112,2.886751345948129e-07,0.0002886751345948129
