r,err_r,V,err_V
0.755,0.0015811388300841897,1.82,0.02
0.725,0.0015811388300841897,1.9,0.02
0.715,0.0015811388300841897,1.8,0.02
0.695,0.0015811388300841897,1.95,0.02
0.675,0.0015811388300841897,1.84,0.02
0.665,0.0015811388300841897,1.99,0.02
0.655,0.0015811388300841897,1.98,0.02
0.645,0.0015811388300841897,1.9,0.02
0.635,0.0015811388300841897,2.05,0.02
0.625,0.0015811388300841897,2.13,0.02
0.615,0.0015811388300841897,2.02,0.02
0.605,0.0015811388300841897,2.13,0.02
0.595,0.0015811388300841897,2.31,0.02
0.5850000000000001,0.0015811388300841897,2.22,0.02
0.5750000000000001,0.0015811388300841897,2.26,0.02
0.5650000000000001,0.0015811388300841897,2.52,0.02
0.555,0.0015811388300841897,2.45,0.02
0.545,0.0015811388300841897,2.46,0.02
0.535,0.0015811388300841897,2.7,0.02
0.525,0.0015811388300841897,2.65,0.02
0.515,0.0015811388300841897,2.63,0.02
0.505,0.0015811388300841897,2.78,0.02
0.495,0.0015811388300841897,2.74,0.02
0.485,0.0015811388300841897,2.71,0.02
0.475,0.0015811388300841897,2.7,0.02
0.46499999999999997,0.0015811388300841897,2.81,0.02
0.45499999999999996,0.0015811388300841897,2.84,0.02
0.44499999999999995,0.0015811388300841897,2.86,0.02
0.43499999999999994,0.0015811388300841897,3.01,0.02
0.42499999999999993,0.0015811388300841897,3.18,0.02
0.4149999999999999,0.0015811388300841897,3.14,0.02
0.405,0.0015811388300841897,3.2,0.02
0.395,0.0015811388300841897,3.35,0.02
0.385,0.0015811388300841897,3.44,0.02
0.375,0.0015811388300841897,3.28,0.02
0.365,0.0015811388300841897,3.5,0.02
0.355,0.0015811388300841897,3.73,0.02
