rs_max,rs_max_err,V_max,V_max_err
0.743,0.001,1.86,0.03
0.7300000000000001,0.001,1.85,0.003
0.715,0.001,1.88,0.01
0.7000000000000001,0.001,1.91,0.01
0.685,0.001,1.93,0.02
0.67,0.001,1.96,0.02
0.655,0.001,2.03,0.02
0.64,0.001,2.07,0.02
0.63,0.001,2.11,0.01
0.615,0.001,2.17,0.02
0.6,0.001,2.3,0.03
0.5850000000000001,0.001,2.4,0.03
0.57,0.001,2.51,0.03
0.5650000000000001,0.001,2.45,0.02
0.55,0.001,2.54,0.03
0.535,0.001,2.6,0.03
0.52,0.001,2.66,0.03
0.505,0.001,2.67,0.02
0.49,0.001,2.67,0.02
0.46499999999999997,0.001,2.78,0.02
